Name,Assign,Date,Grade,Link,Missing,Status,Subject,Tags,Type,Weight
Trigonometry Exam,,"October 13, 2021",9.38,,Done,Completed,Maths,,Exam,
TOK Mini Exhibition,,"September 29, 2021 9:00 PM",9.4,,Done,Completed,TOK,,Essay/Writing,
Test de Lectura,,"October 4, 2021 8:00 PM",10,https://classroom.google.com/u/0/c/MzgzMzQ4NDE0NzA3/a/NDA0NDg4NjMwNzAx/details,Done,Completed,Historia,,Essay/Writing,
Primer Parcial,,"September 30, 2021",9.3,,Done,Completed,Español,,Exam,
Gender in Escandinavia,,"November 9, 2021",10,https://classroom.google.com/u/0/c/MzgzNDE1MTkwOTI1/m/MzkzNDc4OTI1Mzk1/details,Done,Completed,Geografía,,Presentation,
Examen U7 + U12.1,,"October 14, 2021",10,,Done,Completed,Química,,Exam,
Mechanics Exam,,"November 25, 2021",9.2,,Done,Completed,Physics,,Exam,
Segundo Parcial,,"November 18, 2021",10,,Done,Completed,Español,,Exam,
Jugend ohne Gott – Das PBL,,"October 11, 2021",8.7,https://classroom.google.com/u/0/c/MzgzNzM2MDY1OTMz/m/Mzk5NzUwMDgyOTk0/details,Done,Completed,Deutsch,,Project,
CMOS Exam,,"October 6, 2021",9.7,,Done,Completed,TOK,,Exam,
Exposición Porfiriato,,"October 27, 2021",9.04,,Done,Completed,Historia,,Presentation,
Question Assignment Forces 1,,"October 8, 2021 11:59 PM",9,https://app.kognity.com/study/app/physics-hl-2016/assignments/take/1294235/?,Done,Completed,Physics,,Exercise,
Leseverständnis Prüfung DSD2,,"October 25, 2021",9.4,,Done,Completed,Deutsch,,Exam,
Grammatik Prüfung Satzverbindungen,,"October 21, 2021",8.3,,Done,Completed,Deutsch,,Exam,
Hörverständnis DSDII,,"September 27, 2021",9.2,,Done,Completed,Deutsch,,Exam,
Motion Exam,,"September 23, 2021",9.87,,Done,Completed,Physics,,Exam,
Examen de conjugaisons,,"September 28, 2021",9.9,,Done,Completed,Français,,Exam,
Gruppenarbeit Zellbiologie,,"September 17, 2021",8.2,,Done,Completed,Biologie,,Presentation,
Abschlussarbeit zu Statistik,,"September 20, 2021 7:25 AM",9.51,https://classroom.google.com/u/0/c/MzgwOTc3MTAzNDU1/a/Mzk0MzU0MTk0Nzcz/details,Done,Completed,Maths,,Essay/Writing,2
Presentation of Kognity Question Assignment,,"October 25, 2021",9.5,,Done,Completed,Physics,,Presentation,
Midi exhibitions (2 objects),,"November 17, 2021 9:00 PM",9.7,,Done,Completed,TOK,,Essay/Writing,
Análisis literario - 68,,"November 11, 2021 7:30 AM",9.8,,Done,Completed,Español,,Essay/Writing,
Examen Geo,,"January 11, 2022",9,,Done,Completed,Geografía,,Exam,
Práctica Química - Ácidos y Bases,,"December 2, 2021 4:00 PM",9.3,,Done,Completed,Química,,Essay/Writing,
Examen U8: Ácidos y Bases,,"February 2, 2022",9.6,,Done,Completed,Química,,Exam,
Mündliche Prüfung Das Muschelessen,,"January 17, 2022",9.3,,Done,Completed,Deutsch,,Exam,
Thermal Concepts Summary,,"January 13, 2022 11:59 PM",9,https://classroom.google.com/u/0/c/MzgwOTA1MDQ1NTEx/a/NDUxODY2MTcxMTI2/details,Done,Completed,Physics,,Essay/Writing,
Tarea 20.01.22,,"January 20, 2022",10,,Done,Completed,Química,,Exercise,
Exemplification/Generalization Writing Assignment,,"February 4, 2022",10,,Done,Completed,TOK,,Essay/Writing,0.5
Exam Momentum+Chap3,,"February 14, 2022",9.63,,Done,Completed,Physics,,Exam,
Examen U9 REDOX,,"March 3, 2022",10,,Done,Completed,Química,,Exam,
Examen U13: metales transición,,"February 17, 2022",10,,Done,Completed,Química,,Exam,
Ensayo revolución mexicana,,"February 2, 2022 2:00 PM",9.27,,Done,Completed,Historia,,Essay/Writing,
Test Lectura Meyer,,"February 23, 2022",9.4,,Done,Completed,Historia,,Exam,0.2
Proyecto Art-I-Fact,,"March 14, 2022",10,,Done,Completed,Historia,,Project,0.2
Test Lectura Coral,,"March 28, 2022",9.6,,Done,Completed,Historia,,Exam,0.2
Examen Español,,"March 11, 2022",9,,Done,Completed,Español,,Exam,
Examen Climate Change,,"March 15, 2022",10,,Done,Completed,Geografía,,Exam,
Lektüre Kaufmann - Eine Kleidergeschichte,,"February 16, 2022 7:59 PM",9.4,,Done,Completed,Deutsch,,Reading,0.2
Lettre l’étranger,,"February 11, 2022",9.6,,Done,Completed,Français,,Essay/Writing,
Kognity Waves,,"February 23, 2022 11:59 PM",89,,Done,Completed,Physics,,Exercise,
Exposición Español,,"February 25, 2022",9.3,,Done,Completed,Español,,Presentation,
Nomenclatura de Alquenos y Alquinos,,"February 3, 2022",10,,Done,Completed,Química,,Exercise,
Actividad 27.01.22,,"January 27, 2022",10,,Done,Completed,Química,,Exercise,
Tarea 26.01.22 +0.1,,"January 26, 2022",10,,Done,Completed,Química,,Exercise,
Actividad 26.01.22,,"January 26, 2022",10,,Done,Completed,Química,,Exercise,
Actividad 17.01.22 +0.1,,"January 17, 2022",10,,Done,Completed,Química,,Exercise,
